,population_den,Area,female_per,children_living_with_single_parents,owner_occupied,some_college_more,dropped_out_schoolOrCollege,sep_wid_div,unemp,debt_housing_units,housing_retirement_income,females_per_tier1_jobs,household_income_less_than_20k,household_size_greater_than_equal_3,age_35_to_54,family_household,household_self_emp,hh_dividends,yr_built,electricity_cost_per,gross_rent,pool_publicTransport,bike
"Block Group 2, Census Tract 206.04, Benton County, Arkansas",2562.60,0.52,0.52,0.43,202,0.74,0.00,0.18,0.02,0.86,0.11,0.30,0.93,0.26,0.30,0.49,0.17,0.15,1984.00,0.50,0.08,0.08,0.00
"Block Group 3, Census Tract 206.04, Benton County, Arkansas",907.60,2.02,0.41,0.00,216,0.47,0.48,0.28,0.02,0.69,0.10,0.48,0.84,0.37,0.28,0.66,0.06,0.32,1995.00,0.32,0.08,0.03,0.00
"Block Group 1, Census Tract 206.05, Benton County, Arkansas",1844.80,0.47,0.54,0.17,186,0.66,0.13,0.29,0.01,0.45,0.29,0.34,0.69,0.34,0.26,0.55,0.10,0.22,1982.00,0.42,0.45,0.08,0.00
"Block Group 2, Census Tract 206.05, Benton County, Arkansas",2986.50,0.38,0.51,0.41,188,0.54,0.00,0.32,0.03,0.65,0.15,0.38,0.81,0.37,0.35,0.52,0.07,0.12,1981.00,0.22,0.16,0.09,0.02
"Block Group 3, Census Tract 206.05, Benton County, Arkansas",857.40,2.24,0.48,0.14,417,0.74,0.00,0.08,0.02,0.78,0.10,0.45,0.93,0.55,0.32,0.74,0.08,0.34,1998.00,0.27,0.36,0.14,0.00
"Block Group 1, Census Tract 206.06, Benton County, Arkansas",1243.20,2.04,0.50,0.23,689,0.80,0.16,0.13,0.01,0.70,0.25,0.58,0.96,0.43,0.27,0.79,0.12,0.24,1995.00,0.25,0.08,0.04,0.00
"Block Group 2, Census Tract 206.06, Benton County, Arkansas",1243.40,1.59,0.41,0.10,530,0.90,0.00,0.06,0.04,0.80,0.20,0.69,0.97,0.68,0.30,0.89,0.21,0.48,1995.00,0.20,0.00,0.02,0.01
"Block Group 1, Census Tract 206.07, Benton County, Arkansas",1048.60,2.01,0.59,0.19,245,0.81,0.00,0.09,0.01,0.60,0.11,0.41,0.94,0.24,0.27,0.38,0.09,0.10,2006.00,0.79,0.17,0.06,0.01
"Block Group 2, Census Tract 206.07, Benton County, Arkansas",3097.40,0.89,0.49,0.21,606,0.90,0.00,0.03,0.01,0.95,0.08,0.77,0.99,0.64,0.35,0.80,0.08,0.16,2012.00,0.49,0.02,0.08,0.00
"Block Group 3, Census Tract 206.07, Benton County, Arkansas",2319.80,1.73,0.39,0.23,282,0.89,0.00,0.09,0.03,0.37,0.05,0.71,0.97,0.42,0.23,0.58,0.08,0.18,2013.00,0.74,0.02,0.17,0.00
"Block Group 1, Census Tract 206.08, Benton County, Arkansas",3442.40,0.62,0.54,0.19,241,0.73,0.00,0.12,0.02,0.74,0.08,0.52,0.94,0.40,0.28,0.70,0.13,0.05,2010.00,0.80,0.15,0.05,0.00
"Block Group 2, Census Tract 206.08, Benton County, Arkansas",6449.00,0.24,0.50,0.71,176,0.61,0.00,0.13,0.07,0.89,0.07,0.45,0.93,0.58,0.32,0.66,0.15,0.13,2007.00,0.57,0.22,0.21,0.00
"Block Group 1, Census Tract 207.01, Benton County, Arkansas",861.80,2.80,0.55,0.02,623,0.70,0.00,0.11,0.08,0.82,0.14,0.36,0.98,0.36,0.29,0.83,0.09,0.11,1999.00,0.63,0.00,0.05,0.04
"Block Group 2, Census Tract 207.01, Benton County, Arkansas",876.80,1.66,0.57,0.23,570,0.68,0.00,0.24,0.01,0.70,0.18,0.49,0.89,0.41,0.23,0.66,0.19,0.14,1985.00,0.82,0.00,0.11,0.00
"Block Group 3, Census Tract 207.01, Benton County, Arkansas",510.20,3.06,0.51,0.19,567,0.70,0.00,0.15,0.02,0.84,0.20,0.60,0.94,0.45,0.33,0.77,0.14,0.23,2002.00,0.61,0.00,0.08,0.00
"Block Group 4, Census Tract 207.01, Benton County, Arkansas",205.10,4.63,0.41,0.00,296,0.67,0.00,0.09,0.03,0.57,0.11,0.08,1.00,0.53,0.30,0.84,0.00,0.00,1997.00,0.45,,0.00,0.00
"Block Group 1, Census Tract 207.03, Benton County, Arkansas",1136.40,1.23,0.55,0.00,542,0.79,0.00,0.16,0.00,0.79,0.51,0.51,0.95,0.38,0.23,0.76,0.04,0.22,2000.00,0.77,0.00,0.05,0.00
"Block Group 2, Census Tract 207.03, Benton County, Arkansas",673.50,3.38,0.46,0.12,700,0.68,0.00,0.15,0.00,0.73,0.26,0.50,0.96,0.44,0.35,0.73,0.13,0.15,1998.00,0.66,0.13,0.07,0.00
"Block Group 3, Census Tract 207.03, Benton County, Arkansas",1286.10,1.22,0.50,0.05,549,0.66,0.00,0.15,0.01,0.52,0.36,0.50,0.97,0.20,0.31,0.73,0.03,0.28,1992.00,0.69,0.15,0.10,0.00
"Block Group 1, Census Tract 207.04, Benton County, Arkansas",206.80,10.41,0.50,0.08,624,0.61,0.00,0.17,0.00,0.68,0.24,0.39,0.90,0.44,0.31,0.80,0.18,0.30,1990.00,0.54,0.00,0.06,0.00
"Block Group 2, Census Tract 207.04, Benton County, Arkansas",1127.60,2.11,0.46,0.10,880,0.77,0.21,0.17,0.03,0.61,0.35,0.45,0.95,0.35,0.21,0.72,0.09,0.29,1997.00,0.75,0.23,0.13,0.00
"Block Group 1, Census Tract 208.01, Benton County, Arkansas",290.70,3.15,0.50,0.00,436,0.74,0.00,0.24,0.00,0.69,0.69,0.42,1.00,0.12,0.10,0.64,0.06,0.45,1997.00,0.79,0.00,0.08,0.00
"Block Group 2, Census Tract 208.01, Benton County, Arkansas",390.40,3.98,0.49,0.26,721,0.67,0.00,0.10,0.00,0.42,0.43,0.72,0.93,0.10,0.13,0.87,0.07,0.57,1997.00,0.86,,0.03,0.00
"Block Group 3, Census Tract 208.01, Benton County, Arkansas",752.10,1.37,0.52,0.43,471,0.71,0.00,0.13,0.01,0.68,0.35,0.76,0.97,0.12,0.15,0.82,0.07,0.44,1998.00,0.69,0.00,0.15,0.00
"Block Group 4, Census Tract 208.01, Benton County, Arkansas",385.20,2.54,0.47,0.00,390,0.78,0.00,0.09,0.02,0.54,0.64,0.49,1.00,0.11,0.05,0.86,0.06,0.24,1996.00,0.77,0.00,0.15,0.00
"Block Group 1, Census Tract 208.03, Benton County, Arkansas",661.90,2.90,0.54,0.32,608,0.70,0.00,0.23,0.02,0.54,0.47,0.49,0.96,0.39,0.19,0.85,0.13,0.40,2000.00,0.68,0.00,0.07,0.00
"Block Group 2, Census Tract 208.03, Benton County, Arkansas",1444.60,1.13,0.49,0.00,647,0.67,0.00,0.17,0.04,0.48,0.20,0.28,0.89,0.42,0.31,0.67,0.05,0.40,1977.00,0.50,0.10,0.03,0.00
"Block Group 3, Census Tract 208.03, Benton County, Arkansas",960.50,1.37,0.47,0.39,530,0.61,0.00,0.33,0.00,0.52,0.28,0.36,0.88,0.19,0.22,0.66,0.14,0.17,1986.00,0.85,0.04,0.03,0.00
"Block Group 1, Census Tract 208.05, Benton County, Arkansas",803.40,1.89,0.47,0.04,562,0.78,0.00,0.09,0.00,0.71,0.32,0.42,0.96,0.35,0.21,0.90,0.04,0.33,1999.00,0.71,0.00,0.04,0.00
"Block Group 2, Census Tract 208.05, Benton County, Arkansas",490.80,3.84,0.42,0.14,564,0.69,0.00,0.29,0.06,0.84,0.27,0.38,0.88,0.25,0.25,0.58,0.20,0.28,1980.00,0.59,0.06,0.06,0.00
"Block Group 3, Census Tract 208.05, Benton County, Arkansas",1118.70,0.97,0.51,0.18,435,0.69,0.00,0.10,0.02,0.50,0.33,0.41,0.99,0.24,0.19,0.78,0.12,0.45,1985.00,0.73,0.22,0.16,0.00
"Block Group 1, Census Tract 208.06, Benton County, Arkansas",761.70,1.32,0.55,0.00,484,0.78,0.00,0.22,0.02,0.50,0.64,0.26,0.97,0.11,0.07,0.64,0.02,0.31,1993.00,0.79,0.00,0.04,0.00
"Block Group 2, Census Tract 208.06, Benton County, Arkansas",219.40,8.42,0.46,0.09,602,0.52,0.00,0.28,0.01,0.47,0.24,0.27,0.88,0.35,0.21,0.49,0.02,0.23,2001.00,0.75,0.00,0.02,0.00
"Block Group 3, Census Tract 208.06, Benton County, Arkansas",381.60,9.66,0.49,0.04,1117,0.79,0.00,0.10,0.01,0.58,0.22,0.82,0.99,0.54,0.34,0.85,0.21,0.44,2004.00,0.40,0.00,0.07,0.00
"Block Group 1, Census Tract 209.03, Benton County, Arkansas",4533.60,0.58,0.41,0.31,424,0.80,0.00,0.22,0.01,0.64,0.24,0.66,0.93,0.56,0.26,0.66,0.03,0.19,2005.00,0.76,0.00,0.02,0.00
"Block Group 2, Census Tract 209.03, Benton County, Arkansas",5480.90,0.44,0.60,0.14,549,0.78,0.00,0.22,0.02,0.92,0.15,0.41,0.99,0.44,0.26,0.90,0.02,0.20,2007.00,0.40,0.08,0.02,0.00
"Block Group 1, Census Tract 209.04, Benton County, Arkansas",5238.20,0.62,0.51,0.02,955,0.75,0.03,0.11,0.02,0.91,0.07,0.59,0.87,0.58,0.29,0.73,0.08,0.14,2004.00,0.19,0.09,0.10,0.00
"Block Group 2, Census Tract 209.04, Benton County, Arkansas",1964.10,2.16,0.56,0.10,953,0.75,0.00,0.08,0.01,0.91,0.11,0.62,1.00,0.65,0.25,0.95,0.03,0.11,2006.00,0.31,0.06,0.07,0.00
"Block Group 1, Census Tract 209.05, Benton County, Arkansas",71.50,14.22,0.47,0.06,328,0.45,0.00,0.12,0.01,0.55,0.34,0.63,0.93,0.45,0.31,0.87,0.32,0.00,2002.00,0.53,0.00,0.13,0.00
"Block Group 2, Census Tract 209.05, Benton County, Arkansas",60.10,31.34,0.57,0.47,638,0.42,0.00,0.13,0.01,0.43,0.26,0.32,0.80,0.40,0.28,0.71,0.14,0.09,1986.00,0.29,0.00,0.02,0.00
"Block Group 1, Census Tract 209.06, Benton County, Arkansas",295.00,8.10,0.49,0.01,635,0.67,0.00,0.16,0.02,0.85,0.19,0.56,1.00,0.48,0.34,0.67,0.07,0.21,2006.00,0.31,0.02,0.10,0.00
"Block Group 2, Census Tract 209.06, Benton County, Arkansas",94.00,17.17,0.50,0.18,442,0.59,0.00,0.06,0.05,0.57,0.10,0.36,0.89,0.69,0.31,0.80,0.17,0.24,1997.00,0.40,0.11,0.25,0.00
"Block Group 3, Census Tract 209.06, Benton County, Arkansas",452.40,2.72,0.57,0.21,408,0.85,0.37,0.11,0.06,0.70,0.32,0.23,1.00,0.71,0.36,0.89,0.27,0.16,2004.00,0.27,1.00,0.00,0.00
"Block Group 1, Census Tract 210.01, Benton County, Arkansas",82.70,8.51,0.40,0.30,213,0.38,0.52,0.22,0.02,0.45,0.12,0.12,0.83,0.29,0.29,0.65,0.02,0.19,1978.00,0.57,0.23,0.24,0.00
"Block Group 2, Census Tract 210.01, Benton County, Arkansas",43.20,49.96,0.58,0.49,532,0.32,0.25,0.20,0.00,0.55,0.15,0.42,0.89,0.66,0.38,0.85,0.13,0.21,1993.00,0.29,0.00,0.02,0.00
"Block Group 3, Census Tract 210.01, Benton County, Arkansas",25.50,38.57,0.47,0.36,243,0.42,0.00,0.24,0.00,0.56,0.18,0.14,0.92,0.34,0.39,0.72,0.10,0.04,1994.00,0.58,0.00,0.03,0.00
"Block Group 4, Census Tract 210.01, Benton County, Arkansas",380.70,5.09,0.40,0.40,212,0.33,0.00,0.22,0.00,0.89,0.08,0.34,0.86,0.61,0.29,0.79,0.01,0.02,1992.00,0.47,0.06,0.23,0.00
"Block Group 1, Census Tract 210.03, Benton County, Arkansas",89.00,25.33,0.48,0.19,497,0.41,0.10,0.14,0.03,0.66,0.14,0.42,0.86,0.60,0.25,0.81,0.14,0.07,1981.00,0.38,0.11,0.11,0.00
"Block Group 2, Census Tract 210.03, Benton County, Arkansas",938.90,0.91,0.52,0.47,241,0.41,0.00,0.36,0.04,0.52,0.15,0.35,0.96,0.22,0.37,0.81,0.13,0.21,1972.00,0.33,0.00,0.12,0.00
"Block Group 1, Census Tract 210.04, Benton County, Arkansas",189.60,4.93,0.48,0.00,224,0.69,0.00,0.21,0.02,0.60,0.26,0.45,0.81,0.50,0.28,0.73,0.31,0.38,1988.00,0.30,0.18,0.03,0.00
"Block Group 2, Census Tract 210.04, Benton County, Arkansas",1420.00,1.26,0.45,0.14,400,0.68,0.33,0.21,0.00,0.78,0.15,0.53,0.91,0.46,0.17,0.81,0.06,0.13,1994.00,0.48,0.09,0.17,0.00
"Block Group 3, Census Tract 210.04, Benton County, Arkansas",92.00,13.35,0.56,0.00,365,0.53,0.00,0.18,0.00,0.53,0.02,0.51,0.97,0.40,0.26,0.79,0.28,0.03,1981.00,0.24,0.50,0.07,0.00
"Block Group 1, Census Tract 211.01, Benton County, Arkansas",2090.80,0.67,0.50,0.58,249,0.52,0.00,0.07,0.00,0.84,0.06,0.20,1.00,0.45,0.15,0.84,0.04,0.16,1996.00,0.63,0.04,0.00,0.02
"Block Group 2, Census Tract 211.01, Benton County, Arkansas",2488.90,0.27,0.39,0.35,129,0.45,0.00,0.19,0.03,0.56,0.11,0.32,0.73,0.39,0.29,0.48,0.14,0.08,1962.00,0.17,0.13,0.12,0.00
"Block Group 3, Census Tract 211.01, Benton County, Arkansas",435.40,2.98,0.52,0.15,435,0.65,0.00,0.19,0.00,0.72,0.14,0.34,0.95,0.44,0.24,0.67,0.08,0.09,2002.00,0.20,0.09,0.01,0.03
"Block Group 4, Census Tract 211.01, Benton County, Arkansas",657.50,2.04,0.52,0.10,167,0.35,0.00,0.35,0.05,0.66,0.09,0.60,0.96,0.51,0.35,0.79,0.10,0.07,1995.00,0.48,0.05,0.06,0.00
"Block Group 1, Census Tract 211.02, Benton County, Arkansas",234.70,4.53,0.46,0.56,240,0.57,0.00,0.09,0.00,0.58,0.12,0.49,0.77,0.50,0.17,0.90,0.11,0.24,1987.00,0.34,0.08,0.18,0.00
"Block Group 2, Census Tract 211.02, Benton County, Arkansas",2094.00,1.25,0.55,0.65,623,0.33,0.00,0.12,0.01,0.68,0.14,0.19,0.85,0.64,0.14,0.83,0.10,0.39,2000.00,0.56,0.06,0.16,0.00
"Block Group 1, Census Tract 212.01, Benton County, Arkansas",2981.60,0.74,0.57,0.14,270,0.71,0.00,0.07,0.00,0.44,0.24,0.40,0.97,0.48,0.06,0.70,0.07,0.20,1978.00,0.33,0.00,0.07,0.00
"Block Group 2, Census Tract 212.01, Benton County, Arkansas",4219.10,0.18,0.56,0.41,79,0.68,0.61,0.13,0.00,0.91,0.04,0.37,0.90,0.18,0.17,0.77,0.02,0.02,1941.00,0.26,0.10,0.16,0.02
"Block Group 3, Census Tract 212.01, Benton County, Arkansas",1117.80,1.98,0.45,0.08,567,0.72,0.00,0.13,0.03,0.69,0.14,0.55,0.89,0.56,0.21,0.81,0.08,0.38,1998.00,0.38,0.48,0.05,0.00
"Block Group 1, Census Tract 212.02, Benton County, Arkansas",2949.50,0.62,0.53,0.26,385,0.46,0.34,0.22,0.06,0.75,0.16,0.54,0.64,0.42,0.15,0.67,0.03,0.15,1984.00,0.48,0.04,0.07,0.02
"Block Group 2, Census Tract 212.02, Benton County, Arkansas",649.20,1.95,0.53,0.29,380,0.49,0.18,0.21,0.01,0.41,0.23,0.14,0.91,0.47,0.19,0.71,0.10,0.24,1981.00,0.26,0.52,0.00,0.00
"Block Group 1, Census Tract 213.04, Benton County, Arkansas",2184.30,1.37,0.46,0.03,725,0.79,0.27,0.16,0.02,0.78,0.06,0.45,0.92,0.55,0.35,0.78,0.17,0.30,2011.00,0.52,0.00,0.07,0.00
"Block Group 2, Census Tract 213.04, Benton County, Arkansas",2169.20,1.36,0.54,0.56,484,0.61,0.00,0.23,0.00,0.64,0.10,0.62,0.89,0.39,0.25,0.65,0.01,0.08,2004.00,0.45,0.07,0.00,0.01
"Block Group 3, Census Tract 213.04, Benton County, Arkansas",548.40,7.87,0.48,0.12,1081,0.67,0.00,0.09,0.01,0.87,0.15,0.54,0.97,0.67,0.29,0.87,0.09,0.27,2012.00,0.38,0.04,0.09,0.00
"Block Group 1, Census Tract 213.05, Benton County, Arkansas",56.10,15.28,0.47,0.03,273,0.49,0.00,0.24,0.03,0.51,0.25,0.37,0.78,0.23,0.37,0.68,0.12,0.19,1989.00,0.59,0.15,0.07,0.00
"Block Group 2, Census Tract 213.05, Benton County, Arkansas",70.40,31.57,0.45,0.17,641,0.72,0.00,0.07,0.02,0.67,0.14,0.60,0.95,0.44,0.33,0.83,0.24,0.13,2000.00,0.44,0.09,0.09,0.00
"Block Group 3, Census Tract 213.05, Benton County, Arkansas",153.10,10.53,0.52,0.21,383,0.55,0.00,0.09,0.01,0.89,0.04,0.35,0.91,0.32,0.27,0.47,0.08,0.21,2008.00,0.72,0.03,0.07,0.00
"Block Group 4, Census Tract 213.05, Benton County, Arkansas",340.60,4.62,0.57,0.06,555,0.48,0.00,0.32,0.00,0.40,0.32,0.48,0.80,0.30,0.21,0.52,0.06,0.49,2005.00,0.51,0.48,0.07,0.00
"Block Group 1, Census Tract 213.06, Benton County, Arkansas",508.30,3.40,0.54,0.13,322,0.84,0.00,0.05,0.02,0.72,0.06,0.42,0.94,0.33,0.35,0.68,0.11,0.21,2005.00,0.54,0.10,0.03,0.00
"Block Group 2, Census Tract 213.06, Benton County, Arkansas",1959.00,1.58,0.51,0.10,940,0.88,0.00,0.06,0.00,0.72,0.11,0.65,0.97,0.59,0.41,0.96,0.15,0.48,2003.00,0.16,0.00,0.05,0.01
"Block Group 1, Census Tract 213.08, Benton County, Arkansas",1932.30,2.11,0.51,0.03,1118,0.83,0.00,0.08,0.02,0.80,0.12,0.70,1.00,0.68,0.28,0.89,0.12,0.29,2012.00,0.15,0.00,0.06,0.01
"Block Group 2, Census Tract 213.08, Benton County, Arkansas",1785.50,1.32,0.48,0.01,843,0.93,0.00,0.10,0.04,0.82,0.10,0.53,0.98,0.48,0.40,0.80,0.24,0.41,2006.00,0.22,0.00,0.01,0.00
"Block Group 1, Census Tract 213.12, Benton County, Arkansas",46.20,39.03,0.42,0.17,712,0.39,0.00,0.12,0.00,0.38,0.16,0.59,0.94,0.30,0.35,0.72,0.27,0.09,1994.00,0.26,0.41,0.11,0.00
"Block Group 2, Census Tract 213.12, Benton County, Arkansas",135.50,19.51,0.57,0.85,616,0.37,0.00,0.32,0.00,0.63,0.21,0.51,0.74,0.50,0.19,0.82,0.26,0.05,1997.00,0.40,0.52,0.02,0.00
"Block Group 1, Census Tract 213.13, Benton County, Arkansas",176.50,7.79,0.50,0.44,171,0.54,0.00,0.19,0.09,0.79,0.07,0.57,0.88,0.43,0.18,0.67,0.10,0.13,1993.00,0.62,0.05,0.04,0.00
"Block Group 2, Census Tract 213.13, Benton County, Arkansas",28.60,45.63,0.46,0.00,377,0.58,0.00,0.16,0.02,0.57,0.11,0.45,0.94,0.36,0.36,0.88,0.19,0.21,1984.00,0.39,0.00,0.00,0.00
"Block Group 1, Census Tract 213.14, Benton County, Arkansas",1819.60,0.64,0.43,0.34,259,0.87,0.00,0.20,0.00,0.70,0.12,0.45,1.00,0.70,0.32,0.81,0.10,0.05,2003.00,0.41,0.00,0.09,0.00
"Block Group 2, Census Tract 213.14, Benton County, Arkansas",2246.90,1.28,0.53,0.31,733,0.63,0.00,0.16,0.00,0.91,0.10,0.63,0.97,0.73,0.31,0.94,0.05,0.17,2003.00,0.06,0.17,0.04,0.03
"Block Group 1, Census Tract 213.15, Benton County, Arkansas",987.10,1.68,0.41,0.50,110,0.62,0.00,0.26,0.00,0.56,0.05,0.68,0.84,0.33,0.19,0.44,0.06,0.06,2000.00,0.83,0.12,0.12,0.00
"Block Group 2, Census Tract 213.15, Benton County, Arkansas",1348.20,2.45,0.48,0.10,881,0.60,0.00,0.10,0.01,0.74,0.16,0.63,0.97,0.55,0.32,0.80,0.18,0.28,2005.00,0.32,0.00,0.07,0.00
"Block Group 3, Census Tract 213.15, Benton County, Arkansas",300.80,4.14,0.52,0.00,360,0.51,0.00,0.11,0.02,0.82,0.20,0.47,0.99,0.34,0.16,0.70,0.24,0.21,1997.00,0.39,0.00,0.02,0.00
"Block Group 1, Census Tract 213.16, Benton County, Arkansas",803.10,5.15,0.52,0.14,1381,0.82,0.00,0.13,0.02,0.77,0.14,0.67,0.94,0.50,0.32,0.92,0.09,0.35,2013.00,0.25,0.00,0.01,0.00
"Block Group 2, Census Tract 213.16, Benton County, Arkansas",670.30,3.57,0.52,0.06,831,0.70,0.00,0.10,0.01,0.80,0.20,0.66,0.99,0.49,0.23,0.79,0.12,0.25,2010.00,0.20,0.00,0.05,0.00
"Block Group 1, Census Tract 213.17, Benton County, Arkansas",148.80,6.33,0.44,0.00,263,0.53,0.00,0.13,0.01,0.72,0.15,0.31,0.90,0.35,0.10,0.84,0.11,0.27,1992.00,0.36,0.00,0.03,0.00
"Block Group 2, Census Tract 213.17, Benton County, Arkansas",371.70,6.14,0.52,0.35,666,0.81,0.00,0.12,0.00,0.66,0.07,0.48,0.95,0.56,0.34,0.79,0.10,0.31,2009.00,0.18,0.00,0.07,0.01
"Block Group 1, Census Tract 214.04, Benton County, Arkansas",87.10,16.88,0.50,0.25,495,0.32,0.21,0.17,0.00,0.39,0.26,0.25,0.95,0.38,0.19,0.80,0.07,0.25,1980.00,0.25,0.00,0.04,0.00
"Block Group 2, Census Tract 214.04, Benton County, Arkansas",209.80,3.81,0.54,0.46,269,0.58,0.00,0.07,0.08,0.61,0.23,0.50,0.96,0.42,0.35,0.68,0.15,0.30,1995.00,0.44,0.00,0.11,0.00
"Block Group 3, Census Tract 214.04, Benton County, Arkansas",181.30,8.64,0.55,0.12,524,0.48,0.09,0.25,0.02,0.51,0.23,0.29,0.97,0.55,0.32,0.75,0.12,0.24,1988.00,0.40,0.14,0.06,0.00
"Block Group 1, Census Tract 214.05, Benton County, Arkansas",48.80,20.70,0.44,0.27,338,0.48,0.00,0.14,0.00,0.49,0.29,0.35,0.92,0.27,0.25,0.79,0.14,0.25,1986.00,0.40,0.03,0.03,0.00
"Block Group 2, Census Tract 214.05, Benton County, Arkansas",55.50,14.84,0.47,0.04,285,0.56,0.00,0.16,0.04,0.57,0.33,0.59,0.91,0.28,0.20,0.80,0.04,0.38,1998.00,0.30,1.00,0.18,0.00
"Block Group 3, Census Tract 214.05, Benton County, Arkansas",49.80,9.79,0.45,0.00,254,0.62,0.00,0.18,0.01,0.32,0.43,0.43,0.93,0.09,0.17,0.62,0.04,0.24,1994.00,0.59,0.43,0.00,0.00
"Block Group 1, Census Tract 214.06, Benton County, Arkansas",983.20,1.73,0.54,0.21,277,0.54,0.00,0.12,0.00,0.63,0.22,0.53,0.99,0.63,0.26,0.90,0.13,0.14,1998.00,0.43,0.00,0.08,0.00
"Block Group 2, Census Tract 214.06, Benton County, Arkansas",934.00,1.41,0.46,0.10,294,0.52,0.00,0.14,0.00,0.80,0.14,0.22,0.98,0.63,0.34,0.91,0.11,0.07,1994.00,0.09,0.00,0.10,0.00
"Block Group 3, Census Tract 214.06, Benton County, Arkansas",656.60,3.78,0.54,0.04,581,0.34,0.00,0.16,0.00,0.58,0.17,0.40,0.95,0.46,0.31,0.68,0.06,0.21,1997.00,0.18,0.00,0.10,0.00
"Block Group 1, Census Tract 214.07, Benton County, Arkansas",174.60,7.63,0.52,0.06,325,0.51,0.00,0.11,0.01,0.70,0.24,0.53,0.95,0.45,0.30,0.85,0.03,0.30,1992.00,0.33,0.13,0.13,0.00
"Block Group 2, Census Tract 214.07, Benton County, Arkansas",414.80,4.26,0.46,0.03,652,0.71,0.00,0.22,0.00,0.42,0.27,0.47,0.91,0.26,0.27,0.67,0.10,0.35,1990.00,0.24,0.07,0.03,0.02
"Block Group 3, Census Tract 214.07, Benton County, Arkansas",342.70,3.80,0.49,0.08,532,0.75,0.00,0.14,0.02,0.69,0.33,0.54,0.90,0.30,0.29,0.71,0.10,0.32,1990.00,0.68,0.00,0.12,0.00
"Block Group 1, Census Tract 214.08, Benton County, Arkansas",445.30,4.72,0.44,0.28,425,0.50,0.00,0.05,0.14,0.70,0.16,0.48,0.96,0.69,0.35,0.89,0.16,0.04,1989.00,0.45,0.15,0.10,0.00
"Block Group 2, Census Tract 214.08, Benton County, Arkansas",229.40,7.78,0.47,0.25,496,0.40,0.16,0.22,0.04,0.61,0.20,0.49,0.92,0.53,0.34,0.87,0.14,0.18,1991.00,0.49,0.18,0.11,0.00
"Block Group 3, Census Tract 214.08, Benton County, Arkansas",573.90,3.79,0.51,0.28,362,0.31,0.00,0.16,0.01,0.79,0.14,0.47,0.97,0.70,0.24,0.91,0.16,0.03,1994.00,0.25,0.06,0.07,0.00
"Block Group 1, Census Tract 214.09, Benton County, Arkansas",18.50,53.54,0.51,0.13,436,0.54,0.00,0.12,0.01,0.51,0.27,0.33,0.81,0.22,0.27,0.79,0.11,0.17,1985.00,0.53,0.00,0.02,0.00
"Block Group 2, Census Tract 214.09, Benton County, Arkansas",160.10,8.47,0.51,0.00,519,0.62,0.00,0.24,0.01,0.51,0.47,0.57,0.98,0.28,0.17,0.70,0.16,0.52,1990.00,0.58,0.00,0.11,0.00
"Block Group 1, Census Tract 7901, Boone County, Arkansas",25.50,81.19,0.50,0.04,474,0.45,0.07,0.15,0.01,0.30,0.17,0.37,0.79,0.33,0.12,0.70,0.19,0.19,1991.00,0.53,0.01,0.07,0.00
"Block Group 2, Census Tract 7901, Boone County, Arkansas",59.70,29.63,0.49,0.20,659,0.65,0.07,0.17,0.00,0.58,0.28,0.69,0.94,0.31,0.27,0.65,0.09,0.26,1993.00,0.57,0.00,0.14,0.00
"Block Group 3, Census Tract 7901, Boone County, Arkansas",34.10,74.93,0.48,0.02,712,0.56,0.00,0.21,0.04,0.40,0.24,0.42,0.93,0.50,0.27,0.89,0.15,0.22,1993.00,0.58,0.00,0.02,0.00
"Block Group 1, Census Tract 7902, Boone County, Arkansas",24.60,62.09,0.55,0.05,556,0.51,0.00,0.10,0.02,0.44,0.18,0.87,0.92,0.55,0.20,0.82,0.16,0.12,1980.00,0.58,0.18,0.08,0.00
"Block Group 2, Census Tract 7902, Boone County, Arkansas",110.90,8.25,0.56,0.43,310,0.55,0.00,0.35,0.03,0.40,0.28,0.36,0.75,0.28,0.24,0.56,0.04,0.14,1977.00,0.74,0.10,0.12,0.00
"Block Group 3, Census Tract 7902, Boone County, Arkansas",23.30,39.80,0.49,0.00,393,0.59,0.00,0.23,0.00,0.39,0.34,0.74,0.78,0.37,0.30,0.68,0.11,0.18,1990.00,0.29,0.04,0.06,0.00
"Block Group 4, Census Tract 7902, Boone County, Arkansas",50.10,58.11,0.52,0.05,923,0.57,0.05,0.25,0.02,0.64,0.07,0.37,0.82,0.46,0.30,0.66,0.13,0.12,1994.00,0.49,0.02,0.10,0.00
"Block Group 1, Census Tract 7903, Boone County, Arkansas",67.70,31.53,0.45,0.16,505,0.51,0.00,0.16,0.02,0.59,0.28,0.55,0.93,0.33,0.24,0.73,0.10,0.14,1978.00,0.38,0.09,0.04,0.00
"Block Group 2, Census Tract 7903, Boone County, Arkansas",47.80,29.99,0.47,0.05,479,0.66,0.00,0.11,0.05,0.65,0.12,0.50,0.87,0.51,0.30,0.84,0.13,0.28,1986.00,0.72,0.00,0.07,0.00
"Block Group 3, Census Tract 7903, Boone County, Arkansas",48.50,39.10,0.54,0.12,746,0.51,0.00,0.16,0.01,0.56,0.41,0.67,0.87,0.28,0.23,0.70,0.19,0.05,1989.00,0.61,0.00,0.09,0.00
"Block Group 1, Census Tract 7904, Boone County, Arkansas",28.70,68.73,0.55,0.24,646,0.49,0.00,0.11,0.03,0.38,0.22,0.28,0.71,0.44,0.27,0.91,0.17,0.16,1988.00,0.45,0.65,0.09,0.00
